,data,time_casa,time_visitante,resultado,id_partida,link
207,20/08/2017 19:00h,Coritiba,Santos,0-0,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/coritiba/santos/2419171/1/live
208,21/08/2017 20:00h,Fluminense,Atlético MG,2-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/fluminense/atletico-mg/2419166/1/live
209,23/08/2017 19:30h,Chapecoense,Corinthians,0-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/chapecoense/corinthians/2419165/1/live
210,26/08/2017 16:00h,Fluminense,Vasco,0-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/fluminense/vasco/2419176/1/live
211,26/08/2017 19:00h,Corinthians,Atlético GO,0-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/corinthians/atletico-go/2419179/1/live
212,27/08/2017 16:00h,Flamengo,Atlético PR,2-0,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/flamengo/atletico-pr/2419177/1/live
213,27/08/2017 16:00h,Palmeiras,São Paulo,4-2,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/palmeiras/sao-paulo/2419178/1/live
214,27/08/2017 16:00h,Bahia,Botafogo,1-2,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/bahia/botafogo/2419183/1/live
215,27/08/2017 16:00h,Ponte Preta,Atlético MG,1-2,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/ponte-preta/atletico-mg/2419184/1/live
216,27/08/2017 19:00h,Cruzeiro,Santos,1-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/cruzeiro/santos/2419180/1/live
